Дата,Время,НЖТИ,Название,Число1,Число2
02.12.24,13:18,11152,КЕРОСИНКА,4047,8748
28.11.24,13:27,25419,ЖАНРОНАЦИ,1386,0604
25.11.24,10:57,94913,ЗАМЕТ,3690,7971
21.11.24,18:46,97060,КЛАВИАТУРА,0226,3006
21.11.24,14:14,19756,ЛОТОТРОН,6290,8777
17.11.24,15:19,45760,РЕЗОН,4275,5407
11.11.24,14:42,75833,МАЛОЛЮДЬЕ,0808,4717
11.11.24,13:02,74669,КВАСОНАНТ,4016,2394
07.11.24,11:22,53312,ПРИПАИВАНИЕ,4322,9218
04.11.24,19:43,72747,ПИОНОЛОМ,5221,5209
04.11.24,14:18,82240,ПОЭТОГОРН,3816,3966
31.10.24,13:19,33588,РОДОБАЙТ,7491,2203
24.10.24,14:47,31987,ОБШЛАЖОК,0200,7694
24.10.24,14:19,98124,ИЛОВЫЙ,2357,6493
24.10.24,13:32,91769,ЛЕЙКОЗ,3287,2445
24.10.24,13:05,84622,ДВУЯЗЫЧИЕ,1349,4148
24.10.24,12:47,47042,ГРЕЧИШНЫЙ,4443,7430
21.10.24,16:28,93970,ДЖИПОВНУК,4541,3922
17.10.24,12:51,04842,КАЙФОЖОР,4612,0694
10.10.24,14:01,11459,ФАРСОГРАФ,4281,5666
30.09.24,18:03,85043,ЛИТРОСРУБ,1352,3462
30.09.24,17:46,04252,ЗАВАЛЬ,7170,3862
30.09.24,17:17,39571,СТИРОЛЬНЫЙ,5190,4100
30.09.24,16:25,92986,СЕТОТАУ,2143,2879
30.09.24,16:13,23393,НАРУКАВНЫЙ,8377,1471
30.09.24,15:54,88509,КЛОКОСЛОН,0560,0977
23.09.24,15:46,50303,ЛЕНТОЧИПС,8577,6647
23.09.24,14:09,29093,БУКОМОРФ,8137,1117
23.09.24,12:50,12892,ТЕГОЧЕК,9376,5693
19.09.24,18:13,63209,ГУСЯТНИК,6847,0176
,,84096,МНЕНЬЕ,2407,1312
08.09.24,15:54,35118,ВАХТЕРСКИЙ,6076,8642
07.09.24,10:54,41113,БЕНЗИННЫЙ,3660,7001
01.09.24,19:39,69178,БЕНЗИННЫЙ,3660,7001
,,09849,УЛУСОКОРМ,5470,9627
26.08.24,16:15,41049,ГЕНОЛИС,6790,6710
24.08.22,12:29,15052,ЗВЕЗДОЧЕТ,3137,6818
24.08.19,19:22,43961,УЛЕТОКЛИР,5460,1944
24.08.15,10:31,77209,ГОНДОЛИС,6819,8855
24.08.12,12:42,93641,РАСПЛАВ,1839,7235
24.08.08,12:24,09878,ПЛИСОГАМ,5403,1602
,,62108,ВВОДОРАЗ,1779,3869
30.07.24,19:47,20609,ПЛИСОГАМ,5403,1602
29.07.24,10:26,21026,ВЬЮКОНАБ,6397,2775
24.07.25,14:05,93922,КУЛАК,6495,6880
24.07.22,14:36,97075,ОКОНЧАНЬЕ,9477,7037
24.07.22,12:57,12694,ГОЛОСОК,8017,8154
24.07.08,18:55,96054,ОСТАВЛЕНИЕ,8999,4216
24.07.04,19:17,96247,БОННОКЮРИ,0305,7160
24.07.04,12:35,37270,КРОНШНЕП,6302,3118
24.07.04,10:53,17872,РАЗБИЕНЬЕ,5176,3559
24.07.03,14:03,04062,ДОКОБЛЕФ,0573,2683
24.07.01,15:38,33440,МЕРЗЛЫЙ,0808,2023
24.07.01,10:58,36174,БЛЕФОКУМ,4858,2138
27.06.24,11:09,69371,СОНОДЫМ,2888,5408
24.06.24,18:25,51444,ДАЛЬТОНИК,4895,6841
24.06.20,11:30,96247,АУТОГЕРБ,9317,8248
24.06.17,18:52,71827,ТАЗОМИРТ,4610,2469
24.06.17,12:59,96603,СТЕНОНОЖ,6790,4701
24.06.13,11:02,88690,БУРГОМИСТР,3087,9610
24.06.12,15:39,92986,СГОНОТОР,4259,7212
24.06.06,19:47,27903,АЙМАКОВЫЙ,4772,3754
24.06.06,18:13,82697,БЛИНОБЗИК,0095,6378
24.06.06,17:17,65546,НЕРЧИНСКИЙ,0010,5422
24.06.06,16:32,82240,БЮСТОКОКС,5669,5071
24.06.06,16:08,12362,БОЯЗЛИВОСТЬ,4635,4082
24.06.06,12:55,86004,РОТОБОТ,1511,9386
,,63209,БЛОКОЛАДА,9218,8450
24.06.05,20:30,24419,ДИОДОРЮШ,5528,6989
24.06.05,19:26,78844,ТИКАНЬЕ,9797,9116
,,28339,ДОНСКОЙ,8840,7575
24.06.03,18:47,17207,ЛИОНОРОГ,7934,0510
24.06.03,11:03,19756,ОТСТРАНЕНИЕ,3995,2030
24.02.06,15:11,80536,ГОРДЫНЯ,3226,4768
30.05.24,13:17,36070,БАКЛАК,9051,8779
29.05.24,16:07,54174,УДИНОСТЕР,0091,5671
27.05.24,12:36,50166,НЕВЕРНЫЙ,1745,1643
24.05.23,19:05,66207,НАЛАДЧИЦА,5964,0140
